Lat,Lng, ConvOutlook_201407031200
48.4,-125.2,0.0
48.0,-125.2,0.0
47.6,-125.2,0.0
42.8,-125.2,0.0
48.8,-108.0,0.0
48.4,-108.0,0.0
48.0,-108.0,0.0
47.6,-108.0,0.0
47.2,-108.0,0.0
46.8,-108.0,0.0
46.4,-108.0,0.0
46.0,-108.0,0.0
45.6,-108.0,0.0
45.2,-108.0,0.0
44.4,-108.0,0.0
44.8,-108.0,0.0
43.2,-108.0,0.0
43.6,-108.0,0.0
44.0,-108.0,0.0
42.4,-108.0,0.0
42.8,-108.0,0.0
41.2,-108.0,1.7142857142857142
41.6,-108.0,0.2222222222222222
42.0,-108.0,0.0
40.4,-108.0,2.0
40.8,-108.0,2.0
39.2,-108.0,2.0
39.6,-108.0,2.0
40.0,-108.0,2.0
38.4,-108.0,2.0
38.8,-108.0,2.0
38.0,-108.0,2.0
37.6,-108.0,2.0
37.2,-108.0,2.0
36.8,-108.0,2.0
36.4,-108.0,2.0
36.0,-108.0,2.0
35.6,-108.0,2.0
35.2,-108.0,2.0
34.8,-108.0,2.0
34.4,-108.0,2.0
34.0,-108.0,2.0
33.2,-108.0,2.0
33.6,-108.0,2.0
32.4,-108.0,2.0
32.8,-108.0,2.0
31.6,-108.0,2.0
32.0,-108.0,2.0
48.4,-90.8,0.0
48.0,-90.8,0.0
47.6,-90.8,0.0
47.2,-90.8,0.0
46.8,-90.8,0.0
46.4,-90.8,0.0
46.0,-90.8,0.0
45.6,-90.8,0.0
45.2,-90.8,0.0
44.4,-90.8,0.0
44.8,-90.8,0.0
43.2,-90.8,0.0
43.6,-90.8,0.0
44.0,-90.8,0.0
42.4,-90.8,0.0
42.8,-90.8,0.0
41.2,-90.8,0.0
41.6,-90.8,0.0
42.0,-90.8,0.0
40.4,-90.8,0.0
40.8,-90.8,0.0
39.2,-90.8,0.0
39.6,-90.8,0.0
40.0,-90.8,0.0
38.4,-90.8,0.0
38.8,-90.8,0.0
38.0,-90.8,0.0
37.6,-90.8,0.0
37.2,-90.8,0.06349206349206349
36.8,-90.8,1.7777777777777777
36.4,-90.8,2.0
36.0,-90.8,2.0
35.6,-90.8,2.0
35.2,-90.8,2.0
34.8,-90.8,2.0
34.4,-90.8,2.0
33.2,-90.8,2.0
33.6,-90.8,2.0
34.0,-90.8,2.0
32.4,-90.8,2.0
32.8,-90.8,2.0
31.6,-90.8,0.14925373134328357
31.2,-90.8,0.0
32.0,-90.8,2.0
30.8,-90.8,0.0
30.4,-90.8,0.0
30.0,-90.8,0.0
29.2,-90.8,0.0
29.6,-90.8,0.0
28.8,-90.8,0.0
45.2,-73.6,4.0
44.8,-73.6,4.0
44.4,-73.6,4.0
43.2,-73.6,4.0
43.6,-73.6,4.0
44.0,-73.6,4.0
42.4,-73.6,4.0
42.8,-73.6,4.0
41.2,-73.6,3.111111111111111
41.6,-73.6,4.0
42.0,-73.6,4.0
40.4,-73.6,2.0
40.8,-73.6,2.0
39.6,-73.6,2.0
40.0,-73.6,2.0
48.4,-124.0,0.0
48.0,-124.0,0.0
47.6,-124.0,0.0
47.2,-124.0,0.0
46.8,-124.0,0.0
46.4,-124.0,0.0
46.0,-124.0,0.0
45.6,-124.0,0.0
45.2,-124.0,0.0
44.8,-124.0,0.0
44.4,-124.0,0.0
44.0,-124.0,0.0
43.6,-124.0,0.0
43.2,-124.0,0.0
42.4,-124.0,0.0
42.8,-124.0,0.0
41.2,-124.0,0.0967741935483871
41.6,-124.0,0.16129032258064516
42.0,-124.0,0.0
40.4,-124.0,0.0
40.8,-124.0,0.0
39.2,-124.0,0.0
39.6,-124.0,0.0
40.0,-124.0,0.0
38.4,-124.0,0.0
38.8,-124.0,0.0
48.8,-106.8,0.0
48.4,-106.8,0.0
48.0,-106.8,0.0
47.6,-106.8,0.0
47.2,-106.8,0.0
46.8,-106.8,0.0
46.4,-106.8,0.0
46.0,-106.8,0.0
45.6,-106.8,0.0
45.2,-106.8,0.0
44.4,-106.8,0.0
44.8,-106.8,0.0
43.2,-106.8,0.0
43.6,-106.8,0.0
44.0,-106.8,0.0
42.4,-106.8,1.6065573770491803
42.8,-106.8,0.0
41.2,-106.8,2.0
41.6,-106.8,2.0
42.0,-106.8,2.0
40.4,-106.8,2.0
40.8,-106.8,2.0
39.2,-106.8,2.0
39.6,-106.8,2.0
40.0,-106.8,2.0
38.4,-106.8,2.0
38.8,-106.8,2.0
38.0,-106.8,2.0
37.6,-106.8,2.0
37.2,-106.8,2.0
36.8,-106.8,2.0
36.4,-106.8,2.0
36.0,-106.8,2.0
35.6,-106.8,2.0
35.2,-106.8,2.0
34.8,-106.8,2.0
34.4,-106.8,2.0
33.2,-106.8,2.0
33.6,-106.8,2.0
34.0,-106.8,2.0
32.4,-106.8,2.0
32.8,-106.8,2.0
31.6,-106.8,2.0
32.0,-106.8,2.0
48.0,-89.6,0.0
47.6,-89.6,0.0
47.2,-89.6,0.0
46.8,-89.6,0.0
46.4,-89.6,0.0
46.0,-89.6,0.0
45.6,-89.6,0.0
45.2,-89.6,0.0
44.4,-89.6,0.0
44.8,-89.6,0.0
43.2,-89.6,0.0
43.6,-89.6,0.0
44.0,-89.6,0.0
42.4,-89.6,0.0
42.8,-89.6,0.0
41.2,-89.6,0.0
41.6,-89.6,0.0
42.0,-89.6,0.0
40.4,-89.6,0.0
40.8,-89.6,0.0
39.2,-89.6,0.0
39.6,-89.6,0.0
40.0,-89.6,0.0
38.4,-89.6,0.0
38.8,-89.6,0.0
38.0,-89.6,0.0
37.6,-89.6,0.8253968253968254
37.2,-89.6,2.0
36.8,-89.6,2.0
36.4,-89.6,2.0
36.0,-89.6,2.0
35.6,-89.6,2.0
35.2,-89.6,2.0
34.8,-89.6,2.0
34.4,-89.6,2.0
33.2,-89.6,2.0
33.6,-89.6,2.0
34.0,-89.6,2.0
32.4,-89.6,2.0
32.8,-89.6,2.0
31.6,-89.6,0.0
31.2,-89.6,0.0
32.0,-89.6,1.6721311475409837
30.8,-89.6,0.0
30.4,-89.6,0.0
30.0,-89.6,0.0
29.2,-89.6,0.0
29.6,-89.6,0.0
28.4,-89.6,0.0
28.8,-89.6,0.0
45.2,-72.4,4.0
44.8,-72.4,4.0
44.4,-72.4,4.0
43.2,-72.4,4.0
43.6,-72.4,4.0
44.0,-72.4,4.0
42.4,-72.4,2.721311475409836
42.8,-72.4,3.9365079365079363
41.2,-72.4,2.0
41.6,-72.4,2.0
42.0,-72.4,2.0
40.4,-72.4,2.0
40.8,-72.4,2.0
49.2,-122.8,0.0
48.8,-122.8,0.0
48.4,-122.8,0.0
48.0,-122.8,0.0
47.6,-122.8,0.0
47.2,-122.8,0.0
46.8,-122.8,0.0
46.4,-122.8,0.0
46.0,-122.8,0.0
45.6,-122.8,0.0
45.2,-122.8,0.0
44.8,-122.8,0.0
44.4,-122.8,0.0
44.0,-122.8,0.0
43.2,-122.8,0.4918032786885246
43.6,-122.8,0.0
42.4,-122.8,2.0
42.8,-122.8,1.7419354838709677
41.2,-122.8,2.0
41.6,-122.8,2.0
42.0,-122.8,2.0
40.4,-122.8,2.0
40.8,-122.8,2.0
39.2,-122.8,0.12698412698412698
39.6,-122.8,1.873015873015873
40.0,-122.8,2.0
38.4,-122.8,0.0
38.8,-122.8,0.0
37.2,-122.8,0.0
37.6,-122.8,0.0
38.0,-122.8,0.0
36.8,-122.8,0.0
35.6,-122.8,0.0
49.2,-105.6,0.0
48.8,-105.6,0.0
48.4,-105.6,0.0
48.0,-105.6,0.0
47.6,-105.6,0.0
47.2,-105.6,0.0
46.8,-105.6,0.0
46.4,-105.6,0.0
46.0,-105.6,0.0
